SiteID,country,city,location,latitude,longitude,population,institution,website
FI022,FI,Savonlinna,Pihlajaniemi,61.86,28.85,23000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI023,FI,Seinäjoki,Seinäjoki,62.79446,22.82822,55000,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI024,FI,Tampere,Viinikanlahti,61.49,23.77,2.00E+05,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI025,FI,Turku,Kakolanmäki,60.44,22.24,3.00E+05,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI026,FI,Vaasa,Patt,63.1,21.62,69252,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FI027,FI,Vihti,Nummela,60.41699,24.31965,17500,National Institute for Health and Welfare (THL),thl.fi/en/web/thlfi-en
FR003,FR,Bordeaux I,Louis Fargue,44.837789   ,-0.58,254338,"Faculty of Pharmacy, University Paris Sud",www.lspe.u-psud.fr/
FR004,FR,Fort-de-France P,Pointe des Nègres,14.616065,-61.05878,19000,"Faculty of Pharmacy, University Paris Sud",www.lspe.u-psud.fr/
FR005,FR,Paris Seine Centre,Seine Centre,48.95,2.27,659184,"Faculty of Pharmacy, University Paris Sud",www.lspe.u-psud.fr/
FR006,FR,Paris South Suburbs,South Suburbs,48.856614,2.352222,83951,"Faculty of Pharmacy, University Paris Sud",www.lspe.u-psud.fr/
GB001,GB,Bristol,Avonmouth,51.503457,-2.698444,886650,"Department of Chemistry, University of Bath",http//www.bath.ac.uk/chemistry/
GB002,GB,London,Beckton,51.53,0.05,3400000,"Analytical & Environmental Sciences Division, King's College London, UK",http//www.kcl.ac.uk
GR001,GR,Athens,City of Athens WWTP,37.9928017,23.7658005,3700000,"Laboratory of Analytical Chemistry, University of Athens",http//www.chem.uoa.gr/
GR002,GR,Eleusis,City of eleusis WWTP,38.323372,23.31678,25000,,
GR003,GR,Mytilene,,39.106738,26.557275,26000,"Laboratory of Analytical Chemistry, University of Athens",
GR004,GR,Thessaloniki,,40.640063,22.944419,850000,"Laboratory of Analytical Chemistry, University of Athens",
HR001,HR,Zagreb,Central wastewater treatment plant of the city of Zagreb,45.7929993,15.9463997,650000,Rudjer Boskovic Institute,http://www.irb.hr/eng
IS002,IS,Reykjavik Klettagarðar,Klettagarðar,64.126521,-21.817439,103031,"Department of Pharmacology and Toxicology, University of Iceland",http://english.hi.is/
IT001,IT,Bozen,Kläranlage Bozen,46.49672,11.358,261332,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
IT002,IT,Milan,Nosedo,45.4337997,9.2213602,1046767,"IRCCS, Istituto di Ricerche Farmacologiche  Mario Negri",http//www.marionegri.it/mn/en/
LT001,LT,Kaunas,Kaunas,54.89687,23.89243,288363,"Drug, Tobacco and Alcohol Control Department",http://ntakd.lrv.lt/en/
LT002,LT,Klaipeda,Klaipeda,55.78282,21.49279,164038,"Drug, Tobacco and Alcohol Control Department",http://ntakd.lrv.lt/en/
LT003,LT,Vilnius,Vilniaus vandenys,54.687156,25.279651,545280,"Drug, Tobacco and Alcohol Control Department",http://ntakd.lrv.lt/en/
LV001,LV,Riga,Riga,56.94965,24.105186,619703,Slimibu Profilakses un Kontroles centrs,www.spkc.gov.lv
